ID,uDay,uTime,uName,uTeacher,Day,Time,Name,Status,SignTime,dtStart,dtEnd,dtSignTime,Link
november22monday9:30am-10:15amrockbottom(e),Monday22,9:30am-10:15am,Rock Bottom (E),Elena  T.,,,,,,2021-11-22 09:30:00,2021-11-22 10:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12510254/11/22/2021
november22monday10:15am-11:15amhatha(e),Monday22,10:15am-11:15am,Hatha (E),Angela T.(sub for Aura C.),,,,,,2021-11-22 10:15:00,2021-11-22 11:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12416327/11/22/2021
november22monday10:45am-11:30amaquabootcamp(e),Monday22,10:45am-11:30am,Aqua Bootcamp (E),Denise R.,,,,,,2021-11-22 10:45:00,2021-11-22 11:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12473334/11/22/2021
november22monday10:45am-11:45ambootcamp(e),Monday22,10:45am-11:45am,Boot Camp (E),Elena  T.,,,,,,2021-11-22 10:45:00,2021-11-22 11:45:00,,https://api.groupexpro.com/gxp/reservations/start/index/12510259/11/22/2021
november22monday12:10pm-12:50pmspeed&power(e)â°,Monday22,12:10pm-12:50pm,Speed & Power (E) Â°,Jennifer H.,,,,,,2021-11-22 12:10:00,2021-11-22 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12410344/11/22/2021
november22monday12:10pm-12:50pmmovatiintervals(e),Monday22,12:10pm-12:50pm,Movati Intervals (E),Elena  T.,,,,,,2021-11-22 12:10:00,2021-11-22 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12410525/11/22/2021
november22monday12:10pm-12:50pmpilates(e),Monday22,12:10pm-12:50pm,Pilates (E),Gillian L.,,,,,,2021-11-22 12:10:00,2021-11-22 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12446298/11/22/2021
november22monday4:00pm-5:00pmhothatha(e),Monday22,4:00pm-5:00pm,Hot Hatha (E),Jaqueline C.,,,,,,2021-11-22 16:00:00,2021-11-22 17:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12416333/11/22/2021
november22monday4:45pm-5:30pmspeed&power(e)â°,Monday22,4:45pm-5:30pm,Speed & Power (E) Â°,Siobhan D.,,,,,,2021-11-22 16:45:00,2021-11-22 17:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12410354/11/22/2021
november22monday5:15pm-6:15pmessentials(b)hot,Monday22,5:15pm-6:15pm,Essentials (B) Hot,Jaqueline C.,,,,,,2021-11-22 17:15:00,2021-11-22 18:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12416335/11/22/2021
november22monday5:30pm-6:30pmbootcamp(e),Monday22,5:30pm-6:30pm,Boot Camp (E),Nick Van L.,,,,,,2021-11-22 17:30:00,2021-11-22 18:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12410538/11/22/2021
november22monday5:30pm-6:30pmaquabootcamp(e),Monday22,5:30pm-6:30pm,Aqua Bootcamp (E),Julie H.,,,,,,2021-11-22 17:30:00,2021-11-22 18:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12414508/11/22/2021
november22monday5:45pm-6:45pmzumbaâ®(e),Monday22,5:45pm-6:45pm,ZumbaÂ® (E),Aida C.,,,,,,2021-11-22 17:45:00,2021-11-22 18:45:00,,https://api.groupexpro.com/gxp/reservations/start/index/12413787/11/22/2021
november22monday6:30pm-7:45pmsweat&surrender(e)hot,Monday22,6:30pm-7:45pm,Sweat & Surrender (E) Hot,Trisha M.,,,,,,2021-11-22 18:30:00,2021-11-22 19:45:00,,https://api.groupexpro.com/gxp/reservations/start/index/12534202/11/22/2021
november22monday6:45pm-7:45pmcanceled:zumbaâ®(e),Monday22,6:45pm-7:45pm,CANCELED: ZumbaÂ® (E),Tova  D.,,,,,,2021-11-22 18:45:00,2021-11-22 19:45:00,,
november22monday7:00pm-8:00pmbodysculpt(e),Monday22,7:00pm-8:00pm,Body Sculpt (E),Sheri-Lynn D.,,,,,,2021-11-22 19:00:00,2021-11-22 20:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12457410/11/22/2021
november22monday8:00pm-9:00pmhothatha(e),Monday22,8:00pm-9:00pm,Hot Hatha (E),Brett B.,,,,,,2021-11-22 20:00:00,2021-11-22 21:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12430764/11/22/2021
november23tuesday6:15am-7:15ammovatiintervals(e),Tuesday23,6:15am-7:15am,Movati Intervals (E),Erica Z.,,,,,,2021-11-23 06:15:00,2021-11-23 07:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12343039/11/23/2021
